invoice_no,Quantity,Revenue,segment
536635,198,521.5,0
536637,153,179.85999999999999,2
536638,619,1056.63,0
536639,106,288.5,2
536640,10,20.900000000000002,2
536641,1,4.25,2
536643,72,203.8,2
536663,116,197.4,2
536667,208,291.6,2
536671,84,95.4,2
536672,40,127.2,2
536674,41,86.25,2
536676,50,93.6,2
536681,43,75.67,2
536685,106,308.96,2
536688,12,22.2,2
536690,90,259.76,2
536693,12,22.2,2
536698,144,326.0,2
536707,30,89.39999999999999,2
536732,272,329.04,0
536733,159,255.25,2
536738,40,77.28,2
536739,23,107.15,2
536740,66,82.8,2
536741,130,202.12,2
536742,100,177.98,2
536743,140,170.95,2
536744,78,183.9,2
536745,96,292.40000000000003,2
536746,85,178.55,2
536747,75,100.2,2
536748,16,25.2,2
536749,89,282.64,2
536750,116,363.3,2
536751,12,22.2,2
536752,102,319.16,2
536753,12,22.2,2
536754,142,210.24,2
536755,14,39.3,2
536756,22,56.7,2
536759,112,296.3,2
536761,35,88.95,2
536762,231,307.68,2
536763,127,232.20000000000002,2
536769,369,603.1,0
536771,66,118.38,2
536777,97,138.1,2
536778,125,193.23,2
536780,4,12.8,2
536781,24,50.400000000000006,2
536782,227,369.2,2
536783,162,184.02,2
536784,152,341.04,2
536787,76,192.46,2
536789,12,22.2,2
536790,138,424.76,2
536791,24,44.400000000000006,2
536792,24,30.0,2
536793,70,170.7,2
536794,48,142.8,2
536795,108,150.12,2
536796,150,263.84,2
536797,56,130.8,2
536798,258,508.66,0
536799,122,183.3,2
536800,190,236.97,2
536801,134,252.3,2
536802,46,163.3,2
536803,6,22.5,2
536804,191,859.97,0
536805,312,359.76,0
536806,48,30.0,2
536808,60,198.2,2
536813,146,162.08,2
536819,186,274.28000000000003,2
536821,79,133.5,2
536823,13,50.550000000000004,2
536831,12,59.400000000000006,2
536832,60,119.4,2
536833,206,421.1,2
536834,12,35.400000000000006,2
536836,122,152.6,2
536837,172,291.68,2
536838,48,28.08,2
536839,111,147.57,2
536840,144,110.39999999999999,2
536841,166,319.62,2
536842,82,249.70000000000002,2
536843,12,15.0,2
536844,6,30.9,2
536845,42,99.15,2
536846,114,270.8,2
536847,138,180.3,2
536849,19,71.25,2
536851,74,255.10000000000002,2
536852,106,71.14,2
536856,281,604.75,0
536857,52,98.13,2
536858,42,75.5,2
536859,114,233.04999999999998,2
536860,58,115.0,2
536861,68,181.5,2
536862,105,401.52,2
536863,71,92.37,2
536864,37,151.63,2
536865,223,787.42,0
536874,84,198.81,2
536876,1364,4038.17,1
536883,13,5.46,2
536884,5,39.75,2
536885,128,412.2,2
536920,58,69.3,2
536938,188,409.0,2
536943,74,147.19,2
536945,149,258.61,2
536946,343,667.0400000000001,0
536947,381,533.7,0
536956,86,232.50000000000003,2
536957,234,791.7,0
536960,125,225.65,2
536971,104,132.56,2
536972,23,128.25,2
536973,299,597.33,0
536974,130,300.24,2
536975,640,1065.14,0
536976,76,149.8,2
536977,58,88.88,2
536980,127,171.47,2
536981,37,87.44,2
536982,612,2631.71,1
536983,55,123.53,2
536984,133,297.69,2
536985,25,128.15,2
536986,68,100.74000000000001,2
536987,83,191.31,2
536988,94,194.69,2
536989,24,96.8,2
536990,64,103.80000000000001,2
536991,32,26.4,2
536993,38,101.85,2
536994,17,83.55,2
537022,162,371.8,2
537023,31,91.76,2
537025,46,58.93,2
537026,68,86.2,2
537030,142,246.3,2
537031,108,135.0,2
537034,792,1445.76,0
537035,8,11.6,2
537036,73,116.88,2
537037,92,256.90000000000003,2
537038,29,156.55,2
537041,51,147.14000000000001,2
537042,77,199.46,2
537044,87,332.15,2
537045,41,100.98,2
537046,53,251.95000000000002,2
537047,181,326.59999999999997,2
537048,2,5.9,2
537049,93,240.75000000000003,2
537050,299,496.62,0
537051,82,238.55,2
537052,24,102.0,2
537053,4,23.8,2
537054,82,152.05,2
537055,107,273.29,2
537057,127,249.77,2
537058,97,139.83,2
537059,54,91.43,2
537065,501,865.23,0
537067,8,27.45,2
537077,160,154.14000000000001,2
537081,298,936.26,0
537086,120,315.6,2
537090,12,15.0,2
537111,81,157.99,2
537126,201,365.61,2
537128,98,171.19,2
537129,147,253.85,2
537130,27,104.7,2
537131,141,277.88,2
537133,68,186.88,2
537134,35,133.25,2
537135,418,646.95,0
537136,146,258.96,2
537137,320,474.4,0
537138,144,248.10000000000002,2
537139,24,20.4,2
537140,51,65.57,2
537141,156,432.65000000000003,2
537142,15,32.95,2
537144,199,292.18,2
537153,305,514.73,0
537154,281,815.85,0
537155,63,73.72,2
537156,71,153.85,2
537158,86,184.8,2
537159,49,160.0,2
537160,125,251.20000000000002,2
537163,276,384.71999999999997,0
537176,69,128.55,2
537179,132,500.20000000000005,2
537192,99,173.0,2
537193,224,404.5,2
537195,149,359.53999999999996,2
537196,146,347.12,2
537197,72,185.8,2
537198,10,67.5,2
537199,111,151.44,2
537200,46,111.65,2
537201,890,1322.7,0
537202,105,247.05,2
537204,293,198.43,2
537205,116,165.86,2
537206,25,85.55000000000001,2
537207,30,85.07000000000001,2
537208,139,237.37,2
537209,82,183.73,2
537210,40,94.69,2
537211,103,236.75,2
537212,291,367.39,0
537213,7,8.65,2
537214,10,12.5,2
537215,72,158.76000000000002,2
537216,160,462.2,2
537217,8,47.6,2
537218,196,320.08,2
537219,209,331.15000000000003,2
537220,1,3.35,2
537221,13,28.85,2
537222,55,116.48,2
537223,45,155.75,2
537224,565,1133.99,0
537225,170,373.90999999999997,2
537226,86,113.48,2
537227,88,146.4,2
537228,12,25.200000000000003,2
537229,12,17.4,2
537230,1,2.95,2
537231,112,308.8,2
537233,148,353.0,2
537236,91,375.69000000000005,2
537237,1302,4006.45,1
537238,88,164.2,2
537239,61,153.39000000000001,2
537240,1487,4511.33,1
537241,172,364.92,2
537242,282,412.22,0
537243,24,50.400000000000006,2
537244,133,96.18,2
537245,48,58.2,2
537246,52,101.4,2
537248,38,43.5,2
537249,20,33.0,2
537250,88,178.44,2
537253,149,326.82,2
537254,204,342.24,2
537255,163,303.5,2
537256,76,180.60000000000002,2
537257,58,142.5,2
537258,60,115.05,2
537262,153,477.96000000000004,2
537265,172,180.07999999999998,2
537298,54,153.5,2
537301,34,78.10000000000001,2
537312,60,110.4,2
537313,15,50.25000000000001,2
537332,113,239.15000000000003,2
537334,134,303.13,2
537335,31,90.2,2
537346,299,587.69,0
537350,154,241.02,2
537351,92,92.63,2
537354,85,133.07,2
537359,72,184.10000000000002,2
537362,135,220.33,2
537365,198,411.70000000000005,2
537366,106,308.05,2
537367,12,25.200000000000003,2
537368,132,307.6,2
537369,93,226.45000000000002,2
537370,165,348.5,2
537371,71,172.05,2
537372,73,198.35,2
537374,224,335.45,2
537375,219,320.47,2
537376,238,406.68,0
537377,116,270.52,2
537378,133,254.75,2
537380,48,100.80000000000001,2
537381,194,354.98,2
537382,192,370.42,2
537384,56,122.7,2
537385,33,74.10000000000001,2
537386,3,20.85,2
537387,83,209.43,2
537388,210,391.5,2
537389,60,149.0,2
537390,40,123.24,2
537391,246,445.51,0
537392,80,166.15,2
537393,432,1253.52,0
537394,54,81.17999999999999,2
537395,75,143.12,2
537396,52,134.49,2
537397,92,168.60000000000002,2
537399,165,295.11,2
537400,187,375.64,2
537403,21,30.45,2
537404,37,39.9,2
537405,91,154.94,2
537407,26,73.1,2
537409,195,335.0,2
537411,4,9.65,2
537415,58,168.0,2
537418,63,116.56,2
537419,177,429.35,2
537420,70,199.7,2
537421,123,232.29,2
537422,126,183.35,2
537423,104,166.0,2
537424,9,32.550000000000004,2
537428,210,450.92,2
537429,119,82.12,2
537433,26,111.61999999999999,2
537434,1625,4617.78,1
537435,78,181.7,2
537440,65,175.87,2
537441,207,401.73,2
537442,2,5.07,2
537446,201,569.03,0
537447,54,151.3,2
537448,6,39.6,2
537457,74,358.14,2
537458,101,293.45000000000005,2
537459,112,178.4,2
537462,89,172.65,2
537463,431,685.52,0
537464,234,618.07,0
537465,218,454.6,0
537467,51,118.25,2
537468,164,361.46,2
537469,24,102.0,2
537470,16,45.300000000000004,2
537471,3,17.85,2
537472,54,81.30000000000001,2
537484,164,547.8,2
537489,308,395.88,0
537523,59,139.65,2
537538,121,195.35,2
537567,74,140.09,2
537592,60,66.60000000000001,2
537593,120,220.0,2
537594,134,293.7,2
537595,42,101.32000000000001,2
537598,80,319.0,2
537601,62,108.78,2
537603,177,297.89000000000004,2
537604,352,831.24,0
537605,48,115.74000000000001,2
537606,195,541.0500000000001,0
537607,72,139.19,2
537608,234,431.67,0
537609,116,384.8,2
537612,74,190.3,2
537614,103,251.4,2
537615,20,139.0,2
537616,2,15.9,2
537617,74,160.26,2
537618,172,365.15999999999997,2
537619,104,148.8,2
537620,54,97.8,2
537621,10,19.5,2
537622,114,165.94,2
537623,159,256.43,2
537624,143,257.91,2
537625,36,87.5,2
537626,253,650.89,0
537627,84,85.08,2
537628,186,342.3,2
537629,184,282.22,2
537631,12,17.4,2
537633,3,7.45,2
537634,62,231.9,2
537635,30,68.1,2
537636,28,112.2,2
537637,4,15.7,2
537638,1238,3769.29,1
537640,665,2969.33,1
537641,85,315.63,2
537642,147,626.53,0
537643,173,713.28,0
537645,147,565.49,2
537646,110,236.5,2
537648,271,402.61,0
537649,36,112.6,2
537650,124,289.35,2
537653,75,141.93,2
537654,43,96.8,2
537655,55,93.25,2
537664,24,46.8,2
537665,3,19.65,2
537666,1035,3071.2599999999998,1
537668,20,48.800000000000004,2
537669,105,164.25,2
537670,149,497.39,2
537671,107,231.15,2
537672,123,181.8,2
537673,58,230.1,2
537674,250,319.18,2
537675,12,5.04,2
537676,94,215.70000000000002,2
537678,84,213.96,2
537679,24,24.59,2
537680,173,253.24,2
537681,115,146.4,2
537682,36,54.6,2
537683,237,335.55,2
537685,171,204.87,2
537688,222,438.90000000000003,2
537689,192,246.8,2
537690,216,295.36,2
537691,159,273.67,2
537692,361,528.86,0
537693,120,155.55,2
537694,61,141.25,2
537698,32,147.2,2
537700,20,85.8,2
537707,126,272.94,2
537738,142,261.58,2
537743,63,132.05,2
537751,16,38.8,2
537754,50,129.20000000000002,2
537755,64,217.4,2
537757,86,314.1,2
537758,88,99.42,2
537759,108,203.64000000000001,2
537760,16,34.4,2
537761,12,19.8,2
537762,233,450.4,0
537764,60,126.03,2
537765,76,121.53,2
537768,20,39.0,2
537769,89,189.59,2
537770,174,278.66,2
537771,108,365.96,2
537772,152,242.51,2
537773,135,336.07,2
537775,472,639.39,0
537780,51,127.05000000000001,2
537781,244,398.16,0
537789,162,575.5,2
537792,65,128.75,2
537793,55,106.75,2
537794,185,378.98,2
537795,92,312.90000000000003,2
537796,32,176.20000000000002,2
537799,51,100.45,2
537800,75,69.78999999999999,2
537801,28,162.60000000000002,2
537802,170,470.74,2
537804,116,130.64,2
537806,89,197.76999999999998,2
537808,33,72.77,2
537809,22,65.4,2
537810,3,23.85,2
537811,24,81.36,2
537813,116,376.3,2
537815,158,300.7,2
537816,28,117.0,2
537817,76,168.60000000000002,2
537818,412,921.59,0
537819,224,326.7,2
537822,263,464.93,0
537823,1172,3277.86,1
537825,114,181.7,2
537826,104,272.34000000000003,2
537828,330,468.94,0
537829,190,340.7,2
537830,66,185.05,2
537831,39,106.77000000000001,2
537837,127,270.52,2
537839,9,12.87,2
537840,93,201.25,2
537842,74,158.26,2
537843,52,93.80000000000001,2
537844,92,160.64000000000001,2
537845,12,71.4,2
537846,34,81.60000000000001,2
537847,63,165.45,2
537850,280,311.28,0
537851,48,86.4,2
537852,699,1726.8100000000002,0
537854,84,131.4,2
537855,91,225.45000000000002,2
537858,15,24.95,2
537859,87,141.9,2
537861,43,80.85000000000001,2
537862,71,111.53,2
537863,1,5.95,2
537864,238,336.94,2
537865,125,237.95,2
537866,64,330.2,2
537867,73,287.35,2
537868,988,1311.52,0
537871,74,127.39000000000001,2
537879,56,213.3,2
537880,172,365.8,2
537881,126,628.5,2
537882,13,60.35,2
537883,60,63.0,2
537884,47,188.01,2
537885,63,190.75,2
537886,110,209.3,2
537887,96,305.76,2
537888,389,465.3,0
537889,227,606.45,0
537890,36,100.2,2
537891,36,88.8,2
537892,82,124.38000000000001,2
537894,123,301.95,2
537895,32,68.4,2
537896,156,246.2,2
537897,104,178.88,2
537898,75,259.5,2
537900,131,223.34,2
537901,12,76.19999999999999,2
537915,115,206.13,2
537955,67,194.9,2
537963,114,198.38000000000002,2
537967,6,17.700000000000003,2
537995,72,171.20000000000002,2
538000,12,59.400000000000006,2
538002,73,235.83,2
538003,186,653.7,0
538005,48,220.8,2
538007,92,174.4,2
538008,544,686.3,0
538009,221,532.45,0
538010,28,95.4,2
538011,183,246.27,2
538012,45,194.63,2
538013,83,109.75,2
538014,138,503.70000000000005,2
538015,130,215.57,2
538032,58,174.4,2
538035,179,317.84,2
538037,60,112.6,2
538040,217,325.76,2
538044,16,21.299999999999997,2
538048,16,13.6,2
538049,8,18.4,2
538050,2,15.9,2
538051,152,201.45,2
538053,337,772.12,0
538056,105,120.35,2
538057,138,176.42000000000002,2
538060,3,5.85,2
538064,78,111.75,2
538065,176,347.0,2
538067,62,128.75,2
538068,67,145.4,2
538069,237,392.18,2
538070,18,35.7,2
538071,1399,4141.39,1
538073,16,16.21,2
538076,24,48.1,2
538077,243,534.48,0
538078,165,271.95,2
538079,142,380.26,2
538080,104,200.0,2
538086,170,311.18,2
538087,16,60.0,2
538093,339,649.0500000000001,0
538094,80,110.28,2
538095,63,114.92,2
538096,3,3.7199999999999998,2
538097,192,275.2,2
538104,126,164.85,2
538106,56,64.32000000000001,2
538107,80,155.0,2
538108,150,219.62,2
538113,95,289.85,2
538116,240,685.0,0
538117,36,60.0,2
538125,16,30.0,2
538126,68,133.4,2
538127,2,7.5,2
538145,109,292.97,2
538146,160,320.72,2
538148,137,577.07,2
538149,137,556.54,2
538151,18,50.1,2
538153,163,666.69,0
538154,18,74.92999999999999,2
538155,67,179.92000000000002,2
538156,193,518.35,0
538157,57,119.65,2
538163,112,216.8,2
538165,10,19.5,2
538166,38,70.7,2
538167,84,184.2,2
538168,162,310.45,2
538169,33,93.45,2
538170,133,317.59000000000003,2
538171,145,244.53,2
538172,176,295.20000000000005,2
538174,568,1067.06,0
538176,40,150.0,2
538177,1112,3433.11,1
538178,82,157.9,2
538179,6,17.700000000000003,2
538180,170,301.1,2
538181,56,126.0,2
538182,36,88.74000000000001,2
538183,269,561.03,0
538184,278,435.52000000000004,0
538185,86,154.98,2
538186,77,201.75,2
538187,64,172.70000000000002,2
538188,1,2.95,2
538190,54,102.4,2
538192,20,135.0,2
538193,10,67.5,2
538194,1,0.95,2
538195,20,135.0,2
538196,254,694.5,0
538197,55,124.1,2
538198,537,846.88,0
538199,74,158.85,2
538200,54,75.85,2
538201,70,160.85,2
538202,36,128.4,2
538203,116,186.60000000000002,2
538204,12,19.8,2
538205,211,220.01,2
538206,37,156.07,2
538207,182,218.82,2
538208,34,111.8,2
538209,101,148.21,2
538210,298,486.96000000000004,0
538211,54,188.7,2
538216,30,118.5,2
538240,78,69.06,2
538248,72,126.93,2
538250,57,105.75,2
538252,22,86.5,2
538255,306,863.9,0
538260,105,300.65000000000003,2
538263,84,214.2,2
538268,52,116.89999999999999,2
538279,40,270.0,2
538280,78,97.5,2
538283,7,10.29,2
538288,2,1.9,2
538296,128,269.34000000000003,2
538307,73,152.11,2
538308,232,332.64,2
538309,7,13.649999999999999,2
538310,20,25.799999999999997,2
538311,128,239.0,2
538312,167,256.32,2
538313,109,227.97,2
538327,93,227.97,2
538343,170,385.58000000000004,2
538345,56,106.4,2
538346,387,756.45,0
538347,80,287.65000000000003,2
538349,1254,3870.89,1
538351,599,2625.52,1
538352,6,35.7,2
538353,30,128.2,2
538354,698,1308.38,0
538355,2,9.9,2
538356,166,445.42,2
538358,6,21.7,2
538361,56,129.6,2
538363,65,156.65,2
538364,43,92.4,2
538365,100,326.7,2
538366,38,198.8,2
538367,431,612.29,0
538368,68,122.59,2
538369,105,244.33,2
538370,211,471.1,0
538371,193,333.54,2
538374,112,189.92,2
538378,131,346.90000000000003,2
538379,77,183.5,2
538382,82,195.79,2
538397,209,739.39,0
538403,148,310.3,2
538409,67,126.28,2
538417,51,106.75,2
538418,127,168.46,2
538419,87,167.09,2
538421,55,107.16,2
538437,46,110.1,2
538449,226,438.79,0
538453,94,246.17000000000002,2
538470,1,1.65,2
538473,66,177.66,2
538488,119,210.13,2
538497,68,143.46,2
538501,2,11.9,2
538503,8,10.0,2
538504,97,160.65,2
538507,438,640.83,0
538508,420,750.28,0
538509,66,111.10000000000001,2
538510,73,136.22,2
538511,113,172.24,2
538512,19,39.25,2
538513,84,157.2,2
538514,298,732.45,0
538517,145,237.83,2
538518,437,912.0,0
538519,5,11.35,2
538520,3,3.35,2
538521,50,260.1,2
538523,221,359.68,2
538524,1146,3168.93,1
538525,187,368.49,2
538527,108,139.8,2
538528,56,103.5,2
538529,219,737.61,0
538532,74,193.10000000000002,2
538533,178,241.01,2
538535,20,52.05000000000001,2
538537,105,347.71,2
538541,93,245.15,2
538557,4,27.8,2
538558,389,227.53,0
538565,2,1.9,2
538566,878,2800.23,1
538567,197,257.90000000000003,2
538576,66,119.32,2
538591,152,217.2,2
538592,44,189.3,2
538593,112,314.76,2
538594,10,16.5,2
538596,36,123.0,2
538597,196,171.04000000000002,2
538625,362,535.3100000000001,0
538626,302,724.9,0
538627,12,14.44,2
538629,133,223.48,2
538630,535,1041.6200000000001,0
538631,48,157.20000000000002,2
538633,57,129.57,2
538634,235,443.79,0
538635,141,216.09,2
538636,259,518.19,0
538637,127,227.19,2
538638,113,203.60999999999999,2
538639,98,243.0,2
538640,90,145.0,2
538641,396,753.4,0
538644,1,3.95,2
538645,194,303.18,2
538646,107,191.19,2
538649,2,4.2,2
538651,76,261.03999999999996,2
538652,292,422.39,0
538653,292,845.88,0
538654,26,91.9,2
538655,68,101.21000000000001,2
538656,8,41.89,2
538657,62,181.45000000000002,2
538658,11,25.0,2
538659,250,535.88,0
538660,340,983.8000000000001,0
538661,119,309.05,2
538662,748,1169.52,0
538663,6,12.6,2
538664,236,685.0,0
538665,69,137.55,2
538666,7,12.850000000000001,2
538667,2,1.9,2
538668,6,8.7,2
538669,1,0.95,2
538671,21,59.55,2
538678,31,49.27,2
538679,52,150.68,2
538683,168,197.34,2
538687,48,122.4,2
538688,52,128.20000000000002,2
538689,108,260.3,2
538697,40,102.0,2
538706,102,140.9,2
538707,76,167.01,2
538708,188,327.02,2
538709,60,137.11,2
538710,113,159.15000000000003,2
538714,134,230.6,2
538715,114,275.42,2
538716,12,17.4,2
538721,4,11.8,2
538722,99,236.64000000000001,2
538724,1,2.95,2
538744,110,195.8,2
538753,31,36.45,2
538778,13,39.45,2
538783,290,759.7,0
538785,76,206.0,2
538795,72,217.8,2
538796,190,304.5,2
538797,25,10.5,2
538799,216,614.0,0
538800,86,193.9,2
538801,294,312.78,0
538807,54,115.87,2
538808,544,524.79,0
538809,112,237.4,2
538810,33,120.95,2
538811,388,710.0,0
538812,53,74.25,2
538814,139,314.77,2
538815,71,142.97,2
538816,57,204.15,2
538817,72,56.4,2
538826,624,1210.8700000000001,0
538827,1332,1803.52,1
538828,24,25.44,2
538830,78,146.46,2
538831,28,53.400000000000006,2
538832,249,396.79,0
538836,28,57.46,2
538839,101,210.39000000000001,2
538841,75,170.55,2
538843,42,126.6,2
538844,177,552.01,0
538845,74,92.82,2
538846,4,11.0,2
538849,382,776.64,0
538850,57,121.85,2
538851,155,229.25,2
538852,71,184.39,2
538853,150,190.53,2
538854,148,323.1,2
538855,216,459.24,0
538856,48,48.0,2
538857,61,142.25,2
538858,64,198.24,2
538859,40,162.0,2
538860,49,86.95,2
538862,51,136.75,2
538863,135,316.15999999999997,2
538864,90,360.06,2
538865,30,58.5,2
538866,233,453.93,0
538867,1,3.75,2
538868,318,466.86,0
538869,6,17.700000000000003,2
538870,4,31.8,2
538871,78,309.3,2
538872,52,209.4,2
538875,106,307.8,2
538877,640,2786.69,1
538878,52,175.2,2
538879,270,276.22,2
538880,69,237.6,2
538881,61,291.99,2
538883,107,457.14,2
538884,46,183.57,2
538885,3,20.25,2
538886,230,371.6,2
538888,62,81.48,2
538890,345,349.35,0
538892,12,17.4,2
538894,85,176.95,2
538895,178,200.7,2
538896,266,262.98,2
538899,54,83.3,2
538900,127,298.77,2
538901,114,221.7,2
538902,192,232.28,2
538903,221,411.31,2
538905,135,262.35,2
538907,12,60.6,2
538908,152,245.1,2
538909,18,97.5,2
538910,54,116.1,2
538917,259,638.86,0
538935,70,178.14,2
538942,48,91.28,2
538943,48,69.6,2
538944,80,184.20000000000002,2
538945,202,629.9,0
538951,57,163.59,2
538967,168,354.48,2
538968,248,303.57,2
538991,98,523.5,2
538992,134,420.32,2
538993,56,101.2,2
538994,82,422.7,2
538995,432,938.36,0
538996,22,156.9,2
538998,109,186.68,2
538999,142,286.7,2
539000,18,65.10000000000001,2
539001,24,102.0,2
539002,40,145.82,2
539004,142,336.98,2
539005,24,20.4,2
539006,34,102.28,2
539007,33,89.93,2
539008,124,307.8,2
539009,139,354.91,2
539010,148,247.91,2
539011,36,49.0,2
539014,228,274.26,2
539015,154,380.5,2
539016,148,295.08,2
539017,4,15.8,2
539018,158,283.53000000000003,2
539019,141,281.84,2
539030,270,624.5,0
539032,40,74.4,2
539034,79,167.05,2
539036,210,212.22,2
539038,225,280.65,2
539039,540,844.44,0
539040,40,135.6,2
539041,230,193.42000000000002,2
539042,132,188.28,2
539043,250,392.34000000000003,0
539044,377,808.85,0
539045,25,19.25,2
539046,54,104.9,2
539047,120,178.8,2
539049,284,808.8,0
539050,134,195.89,2
539051,3,14.85,2
539052,6,17.700000000000003,2
539053,65,169.9,2
539056,1,1.45,2
539064,5,26.05,2
539070,26,19.9,2
539074,8,30.0,2
539075,100,209.57,2
539076,30,213.7,2
539077,33,105.75,2
539078,52,72.6,2
539079,78,251.10000000000002,2
539080,28,63.5,2
539081,1,2.95,2
539082,77,185.85000000000002,2
539083,15,32.25,2
539084,93,190.35000000000002,2
539085,24,25.44,2
539086,84,211.8,2
539087,84,216.0,2
539088,145,511.95,2
539089,86,186.0,2
539091,50,163.8,2
539092,12,24.0,2
539093,20,31.0,2
539094,57,157.35,2
539095,158,280.56,2
539098,238,322.86,2
539099,255,392.66,0
539103,227,586.92,0
539105,59,127.33000000000001,2
539106,68,413.4,2
539107,48,151.2,2
539111,112,164.8,2
539112,117,308.87,2
539113,3,4.949999999999999,2
539118,267,256.27000000000004,2
539142,107,164.6,2
539143,11,46.45,2
539160,80,127.08,2
539181,72,131.96,2
539185,99,216.34,2
539196,247,685.2900000000001,0
539201,135,322.01,2
539211,290,410.12,0
539212,85,235.85000000000002,2
539213,168,130.16,2
539214,78,141.3,2
539215,49,117.36,2
539216,3,16.15,2
539217,236,521.96,0
539218,1,3.75,2
539219,24,60.60000000000001,2
539220,18,48.44,2
539222,126,265.9,2
539223,2,2.5,2
539225,600,1153.3200000000002,0
539226,39,59.85,2
539240,698,737.46,0
539242,44,36.08,2
539243,41,112.7,2
539245,32,81.44,2
539246,36,91.73,2
539247,88,193.48000000000002,2
539248,120,110.16,2
539249,108,314.1,2
539250,646,797.74,0
539252,228,218.64,2
539254,120,169.2,2
539255,182,198.66,2
539256,269,468.07,0
539257,52,95.7,2
539259,188,281.28,2
539261,366,405.86,0
539262,330,297.65999999999997,0
539263,164,276.63,2
539264,142,242.48,2
539265,1,4.95,2
539266,35,93.05000000000001,2
539267,130,253.5,2
539268,6,29.7,2
539269,11,46.85,2
539272,28,57.440000000000005,2
539275,24,30.0,2
539280,14,26.1,2
539281,279,434.95,0
539282,64,131.4,2
539283,95,250.65,2
539285,61,105.54,2
539286,62,192.5,2
539288,10,5.5,2
539290,80,124.10000000000001,2
539292,54,304.9,2
539293,189,441.99,2
539294,85,288.1,2
539295,68,216.2,2
539296,48,75.78,2
539297,76,147.9,2
539298,26,102.3,2
539299,22,112.2,2
539300,38,72.59,2
539303,58,209.34,2
539305,221,286.15,2
539306,18,46.7,2
539307,168,331.6,2
539308,122,225.9,2
539309,157,279.85,2
539310,4,15.0,2
539311,150,184.57999999999998,2
539312,24,30.0,2
539313,62,191.3,2
539314,140,247.45000000000002,2
539315,54,183.3,2
539316,18,46.3,2
539317,174,194.97,2
539318,96,52.8,2
539319,78,292.5,2
539320,226,662.9000000000001,0
539321,82,168.81,2
539322,77,126.9,2
539323,6,3.42,2
539324,84,109.82,2
